job_title,company_size,job_category,description,city,country,remote_work,annual_salary_usd,demand_score,posting_year,required_skills,source,url
AI Agent Developer,Startup (1-50),AI Engineering,AI Engineering - APIs|Planning Systems|Python|Cloud|SQL|Leadership,Boston,USA,On-site,239000.0,96,2026,APIs|Planning Systems|Python|Cloud|SQL|Leadership,Kaggle AI Jobs,
Prompt Engineer,Enterprise (5000+),AI Engineering,AI Engineering - Python|Documentation|LLM APIs|Prompt Design|NLP|Testing|Cloud,London,UK,Hybrid,166000.0,82,2026,Python|Documentation|LLM APIs|Prompt Design|NLP|Testing|Cloud,Kaggle AI Jobs,
LLM Engineer,Big Tech (FAANG+),AI Engineering,AI Engineering - Vector DBs|Python|Prompt Engineering|Fine-tuning|Agile,Seattle,USA,Fully Remote,360000.0,98,2026,Vector DBs|Python|Prompt Engineering|Fine-tuning|Agile,Kaggle AI Jobs,
Data Engineer (AI),SME (51-500),Data Engineering,Data Engineering - Feature Stores|Spark|ETL|Airflow|dbt|SQL|Python|Statistics|SQL|Communication,Singapore,Singapore,Fully Remote,161000.0,88,2026,Feature Stores|Spark|ETL|Airflow|dbt|SQL|Python|Statistics|SQL|Communication,Kaggle AI Jobs,
AI Product Manager,Enterprise (5000+),Product,Product - Data Analysis|Stakeholder Mgmt|Agile|Cloud|Problem Solving|Statistics,Los Angeles,USA,Fully Remote,283000.0,85,2026,Data Analysis|Stakeholder Mgmt|Agile|Cloud|Problem Solving|Statistics,Kaggle AI Jobs,
AI Agent Developer,Enterprise (5000+),AI Engineering,AI Engineering - Planning Systems|Python|APIs|AutoGen|LangChain|Statistics|Git|Agile,Chicago,USA,On-site,155000.0,96,2026,Planning Systems|Python|APIs|AutoGen|LangChain|Statistics|Git|Agile,Kaggle AI Jobs,
AI Security Engineer,Mid-size (501-5000),Security,Security - Risk Analysis|Cybersecurity|Python|ML Security|Red Teaming|Git,Boston,USA,Fully Remote,197000.0,80,2026,Risk Analysis|Cybersecurity|Python|ML Security|Red Teaming|Git,Kaggle AI Jobs,
Senior ML Engineer,Startup (1-50),AI Engineering,AI Engineering - LLM Fine-tuning|Distributed Systems|MLOps|Python|System Design|Agile|Cloud|Statistics,Remote,Global,Fully Remote,221000.0,96,2025,LLM Fine-tuning|Distributed Systems|MLOps|Python|System Design|Agile|Cloud|Statistics,Kaggle AI Jobs,
NLP Engineer,SME (51-500),AI Engineering,AI Engineering - Python|Text Processing|BERT|Hugging Face|Communication|Agile|Research,Bangalore,India,Hybrid,145000.0,91,2025,Python|Text Processing|BERT|Hugging Face|Communication|Agile|Research,Kaggle AI Jobs,
Prompt Engineer,Startup (1-50),AI Engineering,AI Engineering - Documentation|Prompt Design|Testing|NLP|LLM APIs|Python|Communication,Los Angeles,USA,On-site,90000.0,82,2025,Documentation|Prompt Design|Testing|NLP|LLM APIs|Python|Communication,Kaggle AI Jobs,
AI Solutions Architect,Startup (1-50),Architecture,Architecture - Cloud|Python|Leadership|Enterprise Architecture|Cloud,Tokyo,Japan,On-site,180000.0,84,2026,Cloud|Python|Leadership|Enterprise Architecture|Cloud,Kaggle AI Jobs,
Prompt Engineer,Enterprise (5000+),AI Engineering,AI Engineering - Documentation|Python|Prompt Design|Problem Solving,Tokyo,Japan,Hybrid,118000.0,82,2025,Documentation|Python|Prompt Design|Problem Solving,Kaggle AI Jobs,
Senior ML Engineer,Startup (1-50),AI Engineering,AI Engineering - LLM Fine-tuning|Python|MLOps|Problem Solving|Leadership|Statistics,Beijing,China,On-site,180000.0,96,2026,LLM Fine-tuning|Python|MLOps|Problem Solving|Leadership|Statistics,Kaggle AI Jobs,
AI Solutions Architect,Startup (1-50),Architecture,Architecture - System Design|Leadership|Cloud|Agile|Linux|Statistics,Toronto,Canada,Fully Remote,180000.0,84,2026,System Design|Leadership|Cloud|Agile|Linux|Statistics,Kaggle AI Jobs,
AI Agent Developer,Startup (1-50),AI Engineering,AI Engineering - Python|APIs|LangChain|Tool Use|AutoGen|Communication|Statistics|Problem Solving,Dubai,UAE,Hybrid,209000.0,96,2026,Python|APIs|LangChain|Tool Use|AutoGen|Communication|Statistics|Problem Solving,Kaggle AI Jobs,
AI Agent Developer,Mid-size (501-5000),AI Engineering,AI Engineering - LangChain|Tool Use|Planning Systems|AutoGen|Python|Git,Amsterdam,Netherlands,Fully Remote,155000.0,96,2025,LangChain|Tool Use|Planning Systems|AutoGen|Python|Git,Kaggle AI Jobs,
ML Engineer,Mid-size (501-5000),AI Engineering,AI Engineering - TensorFlow|Kubernetes|MLOps|Linux|Communication|Problem Solving,Paris,France,Fully Remote,120000.0,97,2026,TensorFlow|Kubernetes|MLOps|Linux|Communication|Problem Solving,Kaggle AI Jobs,
Generative AI Engineer,Mid-size (501-5000),AI Engineering,AI Engineering - GenAI APIs|Deployment|Diffusion Models|LLMs|Fine-tuning|Python|SQL,London,UK,On-site,162000.0,95,2025,GenAI APIs|Deployment|Diffusion Models|LLMs|Fine-tuning|Python|SQL,Kaggle AI Jobs,
AI Security Engineer,Big Tech (FAANG+),Security,Security - Risk Analysis|Python|Cybersecurity|Problem Solving,Sydney,Australia,Hybrid,228000.0,80,2025,Risk Analysis|Python|Cybersecurity|Problem Solving,Kaggle AI Jobs,
